Date,Open,High,Low,Close,Volume,Adj Close
2017-04-13,122.961,123.55,122.65,123.15,1300,123.15
2017-04-12,121.50,123.30,121.288,123.30,500,123.30
2017-04-11,121.255,122.20,121.255,121.48,500,121.48
2017-04-10,119.95,121.65,119.499,121.55,1100,119.93
2017-04-07,120.852,121.70,120.645,121.70,500,120.078
2017-04-06,122.344,123.00,121.871,122.743,2100,119.5087
2017-04-05,122.279,123.45,122.279,122.95,400,119.7102
2017-04-04,120.60,122.90,120.348,122.90,1500,119.6616
2017-04-03,120.70,121.45,120.45,121.20,1100,118.0063
2017-03-31,119.70,119.995,119.468,119.851,200,116.6929
2017-03-30,119.435,120.014,119.435,119.517,200,116.3677
2017-03-29,119.026,119.976,119.026,119.976,200,116.8146
2017-03-28,118.769,119.231,118.55,118.55,100,115.4262
2017-03-27,118.70,119.463,118.51,119.463,100,116.3151
2017-03-24,119.143,119.143,118.90,118.90,100,115.767
2017-03-23,119.126,119.45,118.70,119.251,100,116.1087
2017-03-22,119.971,120.00,119.15,119.15,600,116.0104
2017-03-21,120.60,120.60,119.76,119.76,1600,116.6043
2017-03-20,121.40,121.43,120.502,120.959,2500,117.7717
2017-03-17,121.114,121.485,119.90,121.485,200,118.2838
2017-03-16,120.821,121.505,120.05,120.893,10600,117.7074
2017-03-15,120.049,120.049,119.649,119.649,200,116.4962
2017-03-14,118.75,120.751,118.75,120.082,300,116.9178
2017-03-13,119.22,119.591,119.05,119.591,200,116.4397
2017-03-10,119.086,119.354,118.926,119.25,100,116.1077
2017-03-09,118.084,119.514,118.00,119.514,400,116.3648
2017-03-08,119.215,119.35,118.391,118.562,100,115.4379
2017-03-07,119.415,120.00,119.30,119.30,1100,116.1564
2017-03-06,119.882,120.022,119.368,119.60,500,116.4485
2017-03-03,119.40,119.882,119.00,119.882,300,116.7231
2017-03-02,119.632,119.89,119.05,119.532,800,116.3823
2017-03-01,118.30,119.331,118.30,119.331,700,116.1866
