Date,Open,High,Low,Close,Volume,Adj Close
2017-04-05,15.71,15.90,15.54,15.645,16120700,15.455
2017-04-04,15.35,15.595,15.10,15.595,48469200,15.4056
2017-04-03,15.935,16.025,15.595,15.70,20079100,15.5093
2017-03-31,16.04,16.15,15.81,16.15,18777700,15.9539
2017-03-30,16.15,16.23,15.72,16.035,15261300,15.8403
2017-03-29,16.03,16.28,15.83,16.165,21406400,15.9687
2017-03-28,15.54,16.00,15.505,15.955,16644200,15.7612
2017-03-27,15.365,15.515,15.115,15.505,14769300,15.3167
2017-03-24,15.71,15.89,15.49,15.535,13218100,15.3463
2017-03-23,15.755,15.765,15.555,15.76,16960600,15.5686
2017-03-22,15.795,15.92,15.67,15.73,18641800,15.539
2017-03-21,15.455,16.47,15.42,16.005,41242800,15.8106
2017-03-20,17.55,17.72,17.035,17.195,47516800,16.9862
2017-03-17,18.025,18.325,17.735,17.86,19003000,17.6431
2017-03-16,18.40,18.50,18.035,18.13,13200100,17.9098
2017-03-15,18.19,18.49,18.16,18.305,8233400,18.0827
2017-03-14,18.325,18.33,18.04,18.145,9607200,17.9246
2017-03-13,18.45,18.46,18.11,18.36,8442500,18.137
2017-03-10,18.05,18.48,18.01,18.26,17469700,18.0382
2017-03-09,17.51,17.97,17.505,17.88,13157500,17.6629
2017-03-08,17.32,17.90,17.255,17.635,15152500,17.4208
2017-03-07,17.465,17.545,17.065,17.315,16214200,17.1047
2017-03-06,17.90,18.25,17.475,17.63,37041200,17.4159
